country,competition,gender,season,matches,teams,stats_coverage_pct
England,Championship,MEN,2024-25,552,24,100.0
England,Championship,MEN,2025-26,557,25,0.0
England,League One,MEN,2024-25,552,24,100.0
England,League Two,MEN,2024-25,552,24,100.0
England,Premier League,MEN,2020-21,380,20,100.0
England,Premier League,MEN,2021-22,380,20,100.0
England,Premier League,MEN,2022-23,380,20,100.0
England,Premier League,MEN,2023-24,380,20,100.0
England,Premier League,MEN,2024-25,380,20,100.0
England,Premier League,MEN,2025-26,385,22,97.4
Germany,Bundesliga,MEN,2021-22,306,18,100.0
Germany,Bundesliga,MEN,2022-23,306,18,100.0
Germany,Bundesliga,MEN,2025-26,306,18,0.0
Germany,Bundesliga 2,MEN,2021-22,306,18,100.0
Germany,Bundesliga 2,MEN,2022-23,306,18,100.0
Italy,Serie A,MEN,2025-26,380,20,0.0
South America,Copa Libertadores,MEN,2020,125,32,0.0
South America,Copa Libertadores,MEN,2021,120,32,0.0
South America,Copa Libertadores,MEN,2022,120,32,0.0
South America,Copa Sudamericana,MEN,2020,105,53,0.0
South America,Copa Sudamericana,MEN,2021,157,56,0.0
South America,Copa Sudamericana,MEN,2022,157,56,0.0
South America,Copa Sudamericana,MEN,2023,157,46,0.0
South America,Copa Sudamericana,MEN,2024,157,49,0.0
South America,Copa Sudamericana,MEN,2025,64,38,0.0
